ID de l'activité,Date de l'activité,Nom de l'activité,Type d'activité,Description de l'activité,Temps écoulé,Distance,Fréquence cardiaque max.,Effort relatif,Déplacement-transport,Note privée sur les activités,Matériel utilisé pour l'activité,Nom du fichier,Poids de l'athlète,Poids du vélo,Temps écoulé,Durée de déplacement,Distance,Vitesse max.,Vitesse moyenne,Dénivelé positif,Dénivelé négatif,Altitude min.,Altitude max.,Pente max.,Pente moyenne,Pente positive moyenne,Pente négative moyenne,Cadence max.,Cadence moyenne,Fréquence cardiaque max.,Fréquence cardiaque moyenne,Puissance max.,Puissance moyenne,Calories,Température max.,Température moyenne,Effort relatif,Effort total,Nombre de sorties course à pied,Temps de montée,Temps de descente,Autres temps,Effort ressenti,Type,Heure de début,Puissance moyenne pondérée,Nombre d'échantillons de puissance,Utiliser l'Effort ressenti,Effort relatif ressenti,Déplacement-transport,Poids total soulevé,À partir du téléchargement,Distance ajustée selon la pente,Heure d'observation de la météo,Conditions météo,Température selon les prévisions météo,Température ressentie,Point de rosée,Humidité,Pression atmosphérique,Vitesse du vent,Rafale de vent,Direction du vent,Intensité des précipitations,Heure de lever du soleil,Heure de coucher du soleil,Phase de la lune,Vélo,Matériel,Probabilité de précipitations,Type de précipitations,Couverture nuageuse,Visibilité selon les prévisions météo,Indice UV,Ozone selon les prévisions météo,Nombre de sauts,Grit total,Flow moyen,Signalé,Vitesse moyenne (temps écoulé),Distance sur chemin,Distance récemment découverte,Distance sur chemin récemment découverte,Nombre d'activités,Nombre total de pas,CO2 économisé,Longueur de piscine,Charge d’entraînement,Intensité,Vitesse moyenne ajustée selon la pente,Temps enregistré par le chronomètre,Nombre total de cycles,Récupération,Avec mon animal de compagnie,Compétition,Sortie longue,Pour la bonne cause,Support
14138975086,"17 mars 2025, 09:42:54",Avec les MXsss 🫶🏼,Course à pied,Mieux sans crocs,3141,"9,34",,,false,,,activities/14138975086.fit,,,3141.0,3141.0,9342.9,4.18,2.974,21.4,148.0,374.4,391.6,8.1,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,9377.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.974,4848.4,,,,,0.0,,,,2.986,,,,,,,,""
14143799564,"11 avr. 2025, 08:16:18",Way to breakfast ☀️🌱🍓🥐☕️,Course à pied,"",1330,"4,16",,,false,,,activities/14143799564.gpx,,,1330.0,1258.0,4161.7,5.76,3.308,2.6,17.5,227.6,243.3,11.4,-0.4,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,4143.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.129,120.9,,,,3232.0,,,,,3.294,,,,,,,,media/286C851B-37CE-45C4-B56E-549CBAB714F9.jpg|media/6420A43E-DC96-4C8C-808C-C6D3FEC4210A.jpg
14162590031,"13 avr. 2025, 06:33:01",Mezza di Torino 🌦️✌🏼 **05:16/km,Course à pied,Merci strava de me saucer mais je cours pas aussi vite haha 🥹🥲,6685,"22,03",,,false,,,activities/14162590031.gpx,,,6685.0,6124.0,22031.6,36.706,3.598,112.8,112.8,226.4,243.4,26.9,0.0,,,,,,,,,1711.0,,,,,,,,,,,,,,0.0,,0.0,,1.0,22108.8,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.296,0.0,,,,17906.0,,,,,3.61,,,,,,,,media/EE0BD080-39EC-4825-A89E-A91A99FD0F38.jpg|media/7E060D4B-8D87-49A0-AE2D-F66949E60611.jpg|media/61613D22-5A49-4D07-83AA-A37C360F9E21.jpg|media/D9243181-86D5-4791-81CD-96D94D998333.jpg
14320068820,"29 avr. 2025, 08:42:28",Faro della Vittoria 🗽🗽🗽,Course à pied,"Des ptits pas, des ptits pas 🦦🏃🏼‍♀️‍➡️

Retour en stop je suis trooop en retard 🚗⏰",4248,"9,17",,,false,,,activities/14320068820.gpx,,,4248.0,4015.0,9175.4,4.12,2.285,508.3,48.8,221.0,703.9,48.7,5.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,11961.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.16,5778.8,,,,10340.0,,,,,2.979,,,,,,,,media/E42557B6-05B1-4D33-879D-5CC886AD5D73.jpg|media/D4C03190-6DFB-4605-A907-37B6EC2CA380.jpg|media/D18FCFED-11AD-4120-B3EC-B0C63FF41A75.jpg
14402746142,"7 mai 2025, 07:45:17",Le tour des feux rouges 🚦,Course à pied,🐥🐥🐥🐥,2752,"8,27",,,false,,,activities/14402746142.gpx,,,2752.0,2528.0,8272.4,4.82,3.272,37.4,37.3,220.7,242.0,30.7,0.0,,,,,,,,,646.0,,,,,,,,,,,,,,,,0.0,,1.0,8341.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.006,2695.4,,,,6854.0,,,,,3.297,,,0.0,,,,,""
14459840815,"12 mai 2025, 10:34:50",🇨🇭Ried-Brig - Lago di Mergozzo 🇮🇹,Vélo,"Tunnel Camions Travaux 🚧 
Froid au col 🌧️ C’est trooopp joliiii ⛰️🌼🚵‍♀️ 

[strava://athletes/126419243/15]Arnaud Lambelet 👹",30588,"91,78",,,false,,,activities/14459840815.gpx,,,30588.0,16511.0,91785.9,37.815,5.559,1778.7,2662.8,200.5,2002.8,49.7,-1.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.001,7764.3,,,,,,,,,,,,,,,,,media/721CBAA9-3BF0-420C-9FED-9D5EBC13020A.jpg|media/9D16AC4E-3CC4-465C-8FCB-25C05F5B8B41.jpg|media/021892A4-E295-4216-B700-2DC441E8F48E.jpg|media/CA911164-4561-45E6-8E6A-879B6686196B.jpg|media/C730F171-743D-43CA-B904-1B05DC51D929.jpg|media/ED67A2A6-AA8B-42CC-9F85-997C42CD91A4.jpg
14478264990,"14 mai 2025, 09:29:22",Arrivato a Torino,Vélo,"Gravel mode et arancini 🌸☀️🚲🫟🪲 🌼

[strava://athletes/126419243/15]Arnaud Lambelet  👹👹👹",17296,"65,79",,,false,,,activities/14478264990.gpx,,,17296.0,11366.0,65791.3,11.42,5.788,216.5,144.6,175.3,250.1,15.2,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.804,4670.5,,,,,,,,,,,,,,,,,media/2E63F5BB-DC0A-448C-8536-015AAE606290.jpg|media/B3D12C95-3C42-426F-8D6B-AF5DB6489A38.jpg|media/1A795EF5-AF74-44A2-9303-9B3C416FB8CA.jpg
14478265045,"13 mai 2025, 08:24:54",Velo Brig-Turin étape 2 pas finie,Vélo,"Il pleut moloto fredo 🌧️🌧️
Petit punch à la mandarino au bled 🧡
Soleil le soir, la suite pour le lendemain 🌦️☀️

[strava://athletes/126419243/15]Arnaud Lambelet 👹 heureusement que il a pas oublié son k-way…",43808,"99,39",,,false,,,activities/14478265045.gpx,,,43808.0,15956.0,99394.7,13.76,6.229,462.4,491.6,170.9,361.6,42.4,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.269,836.6,,,,,,,,,,,,,,,,,media/914D189E-BADD-4B3A-8EBD-0395311F932C.jpg|media/B073B2EC-9B7E-4074-A317-7D3A74212730.jpg|media/B1CD8BE3-FDA7-413D-9DCA-EDED9B6C619E.jpg
14624289626,"28 mai 2025, 17:14:35","Sunset à la Superga, 1.5km a piedi au debut trop pennnttuuu 🥵🥵🥵",Vélo,"Cher père Noël, j’aimerais beaucoup une Garmin car je fais que me tromper d’itinéraire, sans compter les 6km de teleportation Strava 🎄🎅🏼🌟",7895,"25,28",,,false,,,activities/14624289626.gpx,,,7895.0,4901.0,25281.4,24.013,5.158,564.6,547.7,221.1,665.5,26.8,0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.202,7281.7,,,,,,,,,,,,,,,,,media/DFDB055E-CDAB-4C82-8177-EA0CEA379D3D.jpg|media/03915043-DF67-45A3-A0D1-942D7A409E73.jpg
14634774967,"29 mai 2025, 12:31:00",Seule dans la montagne ✨🏔️🫶🏼🌸🍒,Course à pied,"Je peux pas m’empêcher de faire des bêtises…

❤️ Lago Rosso  -  💨 Colle di Vento - 🧸 Colle dell’Orso",25915,"31,50",,,false,,,activities/14634774967.gpx,,,25915.0,21360.0,31502.8,5.72,1.475,1908.2,1918.9,388.5,2201.5,50.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,1.0,42786.4,1748519936.0,3.0,26.1,26.3,12.2,0.42,1018.3,1.4,7.4,138.0,0.0,1748490496.0,1748545664.0,0.125,,,0.0,1.0,0.78,30816.0,5.0,,,,,0.0,1.216,28599.9,,,,33652.0,,,,,2.003,,,,,,,,media/28373B06-80F6-4CBF-B38B-20EE9360705E.jpg|media/84E1D887-92B3-4C38-AFAB-D302C1389A9F.jpg|media/2B0D7141-176B-4796-9E73-245F6F70B3B6.jpg|media/47ADEAB2-2F70-4C4A-B3A8-A79933624076.jpg|media/B8FCBBC4-D02D-4BCE-9D15-7018274C7218.jpg|media/F143114E-9040-416A-94EA-F7E572FBEBD6.jpg|media/F9C4DBEA-3869-4699-86D1-5E96EE4EE034.jpg|media/39590D8B-0325-4438-B437-2D176132389A.jpg
